Normal Distribution w/ Mean of 6000, Standard Deviation of 1000
FIFO (1 PROCESSOR)
Process	Cycles	Wait Time
p0:	4760	0
p1:	5592	4710
p2:	7612	10252
p3:	6399	17814
p4:	7382	24163
p5:	6052	31495
p6:	5095	37497
p7:	7870	42542
p8:	4339	50362
p9:	5311	54651
p10:	6075	59912
p11:	7473	65937
p12:	6097	73360
p13:	5107	79407
p14:	5771	84464
p15:	7164	90185
p16:	6584	97299
p17:	5339	103833
p18:	6534	109122
p19:	5392	115606
p20:	6745	120948
p21:	4248	127643
p22:	5034	131841
p23:	5525	136825
p24:	5453	142300
p25:	5961	147703
p26:	6194	153614
p27:	5514	159758
p28:	5629	165222
p29:	4875	170801
p30:	7736	175626
p31:	6882	183312
p32:	4497	190144
p33:	6570	194591
p34:	5070	201111
p35:	5065	206131
p36:	5235	211146
p37:	6250	216331
p38:	5811	222531
p39:	4486	228292
p40:	7322	232728
p41:	7934	240000
p42:	7252	247884
p43:	7041	255086
p44:	5303	262077
p45:	6537	267330
p46:	6694	273817
p47:	6541	280461
p48:	4031	286952
p49:	6354	290933
Total Elapsed Time:	300237
Average Wait Time:	145514

FIFO (4 PROCESSORS)
Process	Cycles	Wait Time
p0:	4760	0
p1:	5592	0
p2:	7612	0
p3:	6399	0
p4:	7382	4560
p5:	6052	5392
p6:	5095	6249
p7:	7870	7362
p8:	4339	11244
p9:	5311	11244
p10:	6075	11642
p11:	7473	15032
p12:	6097	15383
p13:	5107	16355
p14:	5771	17517
p15:	7164	21330
p16:	6584	21312
p17:	5339	22205
p18:	6534	23088
p19:	5392	27444
p20:	6745	27696
p21:	4248	28194
p22:	5034	29422
p23:	5525	32342
p24:	5453	32586
p25:	5961	34191
p26:	6194	34256
p27:	5514	37667
p28:	5629	37839
p29:	4875	39952
p30:	7736	40250
p31:	6882	42981
p32:	4497	43268
p33:	6570	44627
p34:	5070	47665
p35:	5065	47736
p36:	5235	49613
p37:	6250	50997
p38:	5811	52535
p39:	4486	52601
p40:	7322	54648
p41:	7934	56987
p42:	7252	56997
p43:	7041	58096
p44:	5303	61770
p45:	6537	64099
p46:	6694	64671
p47:	6541	64937
p48:	4031	66873
p49:	6354	70436
Total Elapsed Time:	79740
Average Wait Time:	33265

RR (1 PROCESSOR)
